user_id,dwell_mean,dwell_median,dwell_std,dwell_min,dwell_max,DU_mean,DU_median,DU_std,DU_min,DU_max,DD_mean,DD_median,DD_std,DD_min,DD_max,UD_flight_mean,UD_flight_median,UD_flight_std,UD_flight_min,UD_flight_max,UU_mean,UU_median,UU_std,UU_min,UU_max,DU_tri_mean,DU_tri_median,DU_tri_std,DU_tri_min,DU_tri_max,DD_tri_mean,DD_tri_median,DD_tri_std,DD_tri_min,DD_tri_max,text_type,del_freq,backspace_freq,total_time,label,session_id
13,97.875,94.5,24.884006868151424,36.0,175.0,573.8967391304348,292.0,1837.6610297650593,156.0,24319.0,476.07065217391306,204.0,1836.0883612699117,56.0,24200.0,378.19565217391306,110.5,1833.531992649276,-19.0,24069.0,476.0217391304348,196.5,1835.0271508437065,60.0,24188.0,1042.5652173913043,561.0,2576.63071523996,241.0,24659.0,945.1521739130435,447.5,2577.8244626667497,142.0,24540.0,fixed,0.0,0.0,0.0,Neutral,13_N_fixed
19,162.24409448818898,159.0,63.49312130414902,63.0,718.0,634.3888888888889,483.5,582.6669302058899,226.0,5961.0,472.3888888888889,334.0,565.5541561650444,102.0,5749.0,310.0,188.0,561.0811991147093,-228.0,5548.0,472.0,319.5,577.2650413804737,-27.0,5760.0,1109.688,905.0,846.7699769160757,436.0,6526.0,947.584,752.0,827.5810864082415,277.0,6330.0,fixed,5.0,0.0,59665.0,Happy,19_H_fixed
19,-212794612662.77106,143.0,540293277741.93695,-1580000000000.0,415.0,-213513512994.58447,371.5,541065947330.95856,-1580000000000.0,17797.0,403.3614864864865,225.5,1073.6797273955376,7.0,17596.0,213513513775.0473,144.5,541065947021.9311,-229.0,1580000000000.0,387.30743243243245,224.0,225331394368.68445,-1580000000000.0,1580000000000.0,-214237287229.5695,656.0,541841793262.91077,-1580000000000.0,18694.0,808.2542372881356,545.0,1537.2380722991027,74.0,18477.0,fixed,42.0,0.0,119528.0,Neutral,19_N_fixed
25,75.41739130434783,67.0,50.280961938748625,40.0,558.0,545.5877192982456,381.5,499.0522488722868,159.0,3820.0,471.5438596491228,317.0,498.21492217593857,75.0,3741.0,396.2543859649123,230.5,498.56798138291947,-118.0,3654.0,470.29824561403507,299.0,499.06817470736854,-51.0,3733.0,1018.8141592920354,827.0,733.0857671109034,296.0,5567.0,944.7345132743363,758.0,732.2577856204533,230.0,5509.0,fixed,1.0,0.0,53846.0,Happy,25_H_fixed
25,71.77114427860697,67.0,30.531907296860442,24.0,388.0,482.755,368.0,348.31702329715813,159.0,2798.0,411.04,298.0,340.7374922032574,97.0,2730.0,339.22,231.0,338.5604487937674,-109.0,2621.0,410.935,299.0,345.5832601900996,-17.0,2689.0,895.9798994974874,764.0,476.7880430314582,304.0,3593.0,824.1859296482412,706.0,470.8412100204809,226.0,3512.0,fixed,1.0,0.0,82270.0,Neutral,25_N_fixed
29,76.6701030927835,72.0,36.844786232629666,-98.0,371.0,384.2849740932642,274.0,291.6129116513811,169.0,2431.0,308.1243523316062,199.0,290.0851259359773,83.0,2377.0,230.54922279792746,126.0,293.76038795802094,-140.0,2270.0,306.7098445595855,193.0,294.61643276413355,-42.0,2324.0,692.3489583333334,554.0,412.36785044748444,266.0,2687.0,616.4791666666666,470.0,408.3288629238499,207.0,2633.0,fixed,21.0,0.0,59566.0,Angry,29_A_fixed
29,-37089201781.23005,95.0,239781694215.0168,-1580000000000.0,280.0,-37264150524.18396,379.5,240335598834.54596,-1580000000000.0,1622.0,327.7311320754717,276.5,212.26451880997857,1.0,1499.0,37264151171.853775,182.5,240335598733.64856,-109.0,1580000000000.0,322.7641509433962,278.0,153826393189.5504,-1580000000000.0,1580000000000.0,-37440757553.900475,649.0,240893357369.2259,-1580000000000.0,1989.0,654.957345971564,552.0,320.5182605013751,25.0,1895.0,fixed,3.0,0.0,69571.0,Neutral,29_N_fixed
31,88.28455284552845,67.0,78.55117579289285,11.0,791.0,511.62295081967216,369.5,406.83536434752415,159.0,2708.0,423.4590163934426,284.5,373.1360319058755,90.0,2364.0,334.78688524590166,196.5,389.0323921483034,-190.0,2308.0,422.95081967213116,293.0,422.26292879245324,-149.0,2652.0,934.4132231404959,747.0,578.3038369436014,249.0,3697.0,846.5123966942149,673.0,551.4952570920635,202.0,2906.0,fixed,4.0,0.0,51703.0,Happy,31_H_fixed
31,93.08882082695253,76.0,53.06892798206592,10.0,390.0,1192.9153846153847,385.0,5345.386290558852,183.0,81864.0,1099.5723076923077,297.0,5339.512064453365,115.0,81740.0,1006.6630769230769,222.0,5337.0759567073665,-114.0,81620.0,1100.006153846154,306.0,5342.969612816,-56.0,81744.0,2278.808346213292,838.0,8533.820371345686,335.0,113819.0,2185.3477588871715,741.0,8523.632661447677,263.0,113569.0,fixed,4.0,0.0,112016.0,Neutral,31_N_fixed
31,93.08882082695253,76.0,53.06892798206592,10.0,390.0,1192.9153846153847,385.0,5345.386290558852,183.0,81864.0,1099.5723076923077,297.0,5339.512064453365,115.0,81740.0,1006.6630769230769,222.0,5337.0759567073665,-114.0,81620.0,1100.006153846154,306.0,5342.969612816,-56.0,81744.0,2278.808346213292,838.0,8533.820371345686,335.0,113819.0,2185.3477588871715,741.0,8523.632661447677,263.0,113569.0,fixed,2.0,0.0,301551.0,Neutral,31_N_fixed
31,93.08882082695253,76.0,53.06892798206592,10.0,390.0,1192.9153846153847,385.0,5345.386290558852,183.0,81864.0,1099.5723076923077,297.0,5339.512064453365,115.0,81740.0,1006.6630769230769,222.0,5337.0759567073665,-114.0,81620.0,1100.006153846154,306.0,5342.969612816,-56.0,81744.0,2278.808346213292,838.0,8533.820371345686,335.0,113819.0,2185.3477588871715,741.0,8523.632661447677,263.0,113569.0,fixed,0.0,0.0,301551.0,Neutral,31_N_fixed
35,105.00478468899522,96.0,54.45847903251752,32.0,440.0,406.28846153846155,346.0,205.29237654189873,181.0,1426.0,302.8125,242.5,202.70351123299162,68.0,1367.0,197.92307692307693,144.5,211.45558080431147,-156.0,1233.0,301.39903846153845,254.5,212.6371098424797,-47.0,1292.0,707.9082125603865,605.0,300.637488183291,321.0,1994.0,604.6086956521739,501.0,289.73046818700857,256.0,1935.0,fixed,4.0,0.0,63114.0,Neutral,35_N_fixed
35,113.77464788732394,109.0,36.59058406303073,49.0,258.0,499.4822695035461,449.0,236.72614083538082,218.0,1746.0,385.6241134751773,324.0,238.15338811683924,101.0,1592.0,271.8723404255319,210.0,236.8765757901248,-48.0,1458.0,385.7304964539007,342.0,235.27421325012665,90.0,1612.0,878.8857142857142,800.5,345.40700808365057,439.0,2320.0,765.0928571428572,676.5,346.67848178504704,333.0,2213.0,fixed,3.0,0.0,54490.0,Sad,35_S_fixed
40,-40254776993.13376,72.0,249758727291.49347,-1580000000000.0,273.0,-40512820085.4359,308.0,250542108749.25467,-1580000000000.0,2233.0,358.6666666666667,234.0,334.66174224196897,10.0,2143.0,40512820790.34615,160.0,250542108634.53482,-116.0,1580000000000.0,349.70512820512823,230.0,179475939622.07248,-1580000000000.0,1580000000000.0,-40774192772.870964,631.0,251332902670.5096,-1580000000000.0,3986.0,713.9677419354839,590.0,468.17919506629084,50.0,3896.0,fixed,0.0,0.0,55991.0,Calm,40_C_fixed
40,79.65686274509804,71.0,34.95147800508141,20.0,329.0,469.09852216748766,290.0,408.4869450848287,150.0,2495.0,389.7536945812808,212.0,405.6841653350659,60.0,2405.0,309.9950738916256,141.0,411.1315283932621,-79.0,2345.0,389.3399014778325,220.0,414.11646103599924,-19.0,2435.0,855.8267326732673,638.5,526.9466772595151,298.0,2953.0,776.3366336633663,551.5,529.1405267594406,218.0,2864.0,fixed,1.0,0.0,79179.0,Neutral,40_N_fixed
41,101.91612903225807,96.0,40.52399559131035,38.0,321.0,483.84415584415586,433.0,256.53088157357723,202.0,1619.0,383.35064935064935,326.0,250.65095727963313,72.0,1521.0,281.4155844155844,217.5,258.32023246473875,-128.0,1408.0,381.90909090909093,325.5,263.28657722504687,-9.0,1506.0,866.9150326797386,744.0,389.09454519625325,432.0,3074.0,766.6535947712418,653.0,382.3520064620365,286.0,2976.0,fixed,1.0,0.0,59135.0,Calm,41_C_fixed
41,93.1078431372549,82.0,51.81777599073043,25.0,422.0,425.4581280788177,317.0,378.7405940673621,172.0,2976.0,333.679802955665,227.0,368.4609157987427,63.0,2898.0,240.67980295566502,146.0,368.20111397527603,-137.0,2768.0,332.4581280788177,236.0,377.6711754985004,-18.0,2846.0,757.8316831683169,578.5,550.4245953898574,307.0,3434.0,666.1584158415842,511.0,542.2607408783856,222.0,3402.0,fixed,2.0,0.0,67852.0,Neutral,41_N_fixed
